Review
Bagus bagus nagus bbagus bagus bagusssssss
mf salah lketi
"mungil sekali produknya, semoga cocok dan bisa hilang jerawat nya"
"pesanan sudah sampai, lumayan cepat datangnya packing rapi terimakasih"
ok bagus
"akuu sudaa 2kali beli ini dan bener bener ampuh banget diaku!!! YANG AWALNYA COBA COBA JADI KETAGIHAN, ILOVE IT😍😍😍😍 DAN GAK CUMA TOTOL JERAWATNYA, FWNYA JUGA COCOK DI... "
cocok pk ini ...jerawat agak berbh warna...
teksturnya gampang meresap cepat matengin jerawat dan calming
oke cocok selalu repeat order
"Bahannya ringan dan bikin jerawat ku kempes semuanya, dapet harga termurah juga. ga iritasi. cocok sih sama aku, makasih ya"
Dapet harga 9k 🔥🔥
dapet harga 500
"cream nya harum daun sirih, lumayan utk jerawat membandel langsung matang, ringan dan cepat menyerap di kulit tdk lengket. dan berasa dingin2 dikulit"
cepat pengirmnanya
"barang sampai dengan cepat, produk memiliki kualitas yang bagus"
"barangnya sampai dengan cepat, baru pertama kali coba produk you sih semoga cocok 😁"
sukaaa bangett. lumayan dapet harga flash sale
"udah pakai ini dari lama karena emang cocok, terus pas banget dapet promo dari tokopedia, langsung aja deh aku checkout wkwk, kalau pake ini besok nya jerawat langsung ma... "
barangnya sudah sampai🤩
"EMANG TOP INII, UDAH PESEN 2X DI APK YANG BERBEDA DAN EMANG TOP! .
meskipun ngilangin jerawat nya ga dalam 4 hari sesuai teks,agak lama di kulit sy buat ngilangin jerawat... "
"sudah sampai, semoga cocok yaa"
semoga cocok
"Bagus untuk jerawat, produk sesuai pesanan, pengiriman cepat dan packingnya aman"
Nice.
"Pesanan sdh sampai dengan cepat .Obat jerawat blom dicoba.Semoga cocok.
exp 2027.
Thanks seller.Thanks Toped.
Sehat terus bang kurir."
barang nya bagus bgt☺️
"Produk sesuai dengan gambar dan deskripsi, purchase 9/24, exp  date 4/27."
selalu cocok sama spot acne yg satu ini ampuh bgt buat jerawatku walaupun prosesnya lama. semoga cocok selalu✨️
ampuh banget
"harga murah, pengiriman cepat dan aman ada diskon juga"
"pengiriman cepat,harga sangat murah woiii pas lgi flase sale, makasih seller"
"bagus, pengirimannya cepat 3 hari sampai. Favorit🥰"
Udah pakai untuk acne spot…………………………………..
bagus dan puas
pas banget cocok sukaaa
"dikirim cepat, pesanan sesuai, packaging rapih dan aman"
Mantapp YOU🥰
"sangat ampuh untuk menghilangkan jerawat dan bekasnya, menyamarkan hitam bekas jerawat, sangat rekomen untuk kulit berjerawat"
"packing rapih..Barang sesuai, Recommended seller 👍"
paket sudah diterima 👍
"tekstur yang ringan dan lembut di kulit wajah ad sensasi dingin mint ketika d pakai 
best la pokoknya 😍 dpt bonus lagi facial wash"
"barang sampai dgn selamat, semoga cocok"
selalu suka 🌟
"bagus banget bisa meredakan kemerahan juga bisa buat bekas nya lumayan ngilangin, ini udah pembelian kedua recomended pokoknya"
Sukaaa pengirimannya cepet harganya juga murah ada diskon udah beberapa kali make produk ini
